id_product|name|price|city|promo_price|URL
3136047|Игрушка мягкая Мульти Пульти Лео и Тиг Редьяра 266147|359|Moscow /  Spb |1199|https://www.detmir.ru/product/index/id/3136047/
3228604|Игрушка мягкая Aurora Радужный кролик Белый 190267A|899|Moscow /  Spb |1499|https://www.detmir.ru/product/index/id/3228604/
3119444|Игрушка FurReal Friends Малыш Дино E0387EU4|5999|Moscow /  Spb |6699|https://www.detmir.ru/product/index/id/3119444/
2829861|Мягкая игрушка Aurora Кролик|1199|Moscow /  Spb |1599|https://www.detmir.ru/product/index/id/2829861/
4491817|Подушка-игрушка Dormeo «Совиная Семья» Дочь с пледом|1799|None|2903|https://www.detmir.ru/product/index/id/4491817/
3535172|Игрушка Zuru Rainbocorns Puppy-corn surprise S3 в непрозрачной упаковке (Сюрприз) 9237SQ1|1499|Moscow /  Spb |2199|https://www.detmir.ru/product/index/id/3535172/
2762391|Мягкая игрушка Laffi Медвежонок бежевый 95см|1499|Moscow /  Spb |2999|https://www.detmir.ru/product/index/id/2762391/
3506010|Игрушка FurReal Friends Собака 2 большая F1996EU4|None|Moscow /  Spb |2599|https://www.detmir.ru/product/index/id/3506010/
3454159|Игрушка мягкая Кошечки-собачки Викки 38344|899|Moscow /  Spb |1099|https://www.detmir.ru/product/index/id/3454159/
2825001|Мягкая игрушка Aurora Немецкая овчарка|699|Moscow /  Spb |1099|https://www.detmir.ru/product/index/id/2825001/
3935549|Подушка для путешествий Laffi Единорог MF992723-E|799|Moscow /  Spb |1299|https://www.detmir.ru/product/index/id/3935549/
3344395|Игрушка мягкая Мой питомец Щенок Альма интерактивный 297068|2249|Moscow / |3299|https://www.detmir.ru/product/index/id/3344395/
2815551|Мягкая игрушка Aurora Кролик коричневый|499|Moscow /  Spb |799|https://www.detmir.ru/product/index/id/2815551/
3525070|Игрушка мягкая Disney Стич TC-6201|1399|Moscow /  Spb |1799|https://www.detmir.ru/product/index/id/3525070/
3228597|Игрушка мягкая Aurora Единорог в сумке 190668B|1099|Moscow /  Spb |1499|https://www.detmir.ru/product/index/id/3228597/
3416909|Игрушка мягконабивная Мульти Пульти Мимимишки Кеша Учим английский 298531|599|Moscow / |2549|https://www.detmir.ru/product/index/id/3416909/
3948401|Игрушка мягкая Aurora Кролик Розовый|999|Moscow /  Spb |1499|https://www.detmir.ru/product/index/id/3948401/
3192678|Игрушка мягкая Мульти Пульти Буба 278439|999|Moscow /  Spb |1199|https://www.detmir.ru/product/index/id/3192678/
